year,state,totalvotes,county_name,party,candidate,votes
2000,ALABAMA,17208,AUTAUGA,DEMOCRAT,AL GORE,4942
2000,ALABAMA,17208,AUTAUGA,REPUBLICAN,GEORGE W. BUSH,11993
2000,ALABAMA,17208,AUTAUGA,OTHER,OTHER,273
2000,ALABAMA,56480,BALDWIN,DEMOCRAT,AL GORE,13997
2000,ALABAMA,56480,BALDWIN,REPUBLICAN,GEORGE W. BUSH,40872
2000,ALABAMA,56480,BALDWIN,OTHER,OTHER,1611
2000,ALABAMA,10395,BARBOUR,DEMOCRAT,AL GORE,5188
2000,ALABAMA,10395,BARBOUR,REPUBLICAN,GEORGE W. BUSH,5096
2000,ALABAMA,10395,BARBOUR,OTHER,OTHER,111
2000,ALABAMA,7101,BIBB,DEMOCRAT,AL GORE,2710
2000,ALABAMA,7101,BIBB,REPUBLICAN,GEORGE W. BUSH,4273
2000,ALABAMA,7101,BIBB,OTHER,OTHER,118
2000,ALABAMA,17973,BLOUNT,DEMOCRAT,AL GORE,4977
2000,ALABAMA,17973,BLOUNT,REPUBLICAN,GEORGE W. BUSH,12667
2000,ALABAMA,17973,BLOUNT,OTHER,OTHER,329
2000,ALABAMA,4904,BULLOCK,DEMOCRAT,AL GORE,3395
2000,ALABAMA,4904,BULLOCK,REPUBLICAN,GEORGE W. BUSH,1433
2000,ALABAMA,4904,BULLOCK,OTHER,OTHER,76
2000,ALABAMA,7803,BUTLER,DEMOCRAT,AL GORE,3606
2000,ALABAMA,7803,BUTLER,REPUBLICAN,GEORGE W. BUSH,4127
2000,ALABAMA,7803,BUTLER,OTHER,OTHER,70
2000,ALABAMA,38909,CALHOUN,DEMOCRAT,AL GORE,15781
2000,ALABAMA,38909,CALHOUN,REPUBLICAN,GEORGE W. BUSH,22306
2000,ALABAMA,38909,CALHOUN,OTHER,OTHER,822
2000,ALABAMA,11834,CHAMBERS,DEMOCRAT,AL GORE,5616
2000,ALABAMA,11834,CHAMBERS,REPUBLICAN,GEORGE W. BUSH,6037
2000,ALABAMA,11834,CHAMBERS,OTHER,OTHER,181
2000,ALABAMA,7823,CHEROKEE,DEMOCRAT,AL GORE,3497
2000,ALABAMA,7823,CHEROKEE,REPUBLICAN,GEORGE W. BUSH,4154
2000,ALABAMA,7823,CHEROKEE,OTHER,OTHER,172
2000,ALABAMA,15092,CHILTON,DEMOCRAT,AL GORE,4806
2000,ALABAMA,15092,CHILTON,REPUBLICAN,GEORGE W. BUSH,10066
2000,ALABAMA,15092,CHILTON,OTHER,OTHER,220
2000,ALABAMA,7374,CHOCTAW,DEMOCRAT,AL GORE,3707
2000,ALABAMA,7374,CHOCTAW,REPUBLICAN,GEORGE W. BUSH,3600
2000,ALABAMA,7374,CHOCTAW,OTHER,OTHER,67
2000,ALABAMA,10752,CLARKE,DEMOCRAT,AL GORE,4679
2000,ALABAMA,10752,CLARKE,REPUBLICAN,GEORGE W. BUSH,5988
2000,ALABAMA,10752,CLARKE,OTHER,OTHER,85
2000,ALABAMA,5883,CLAY,DEMOCRAT,AL GORE,2045
2000,ALABAMA,5883,CLAY,REPUBLICAN,GEORGE W. BUSH,3719
2000,ALABAMA,5883,CLAY,OTHER,OTHER,119
2000,ALABAMA,5092,CLEBURNE,DEMOCRAT,AL GORE,1664
2000,ALABAMA,5092,CLEBURNE,REPUBLICAN,GEORGE W. BUSH,3333
2000,ALABAMA,5092,CLEBURNE,OTHER,OTHER,95
2000,ALABAMA,15434,COFFEE,DEMOCRAT,AL GORE,5220
2000,ALABAMA,15434,COFFEE,REPUBLICAN,GEORGE W. BUSH,9938
2000,ALABAMA,15434,COFFEE,OTHER,OTHER,276
2000,ALABAMA,21532,COLBERT,DEMOCRAT,AL GORE,10543
2000,ALABAMA,21532,COLBERT,REPUBLICAN,GEORGE W. BUSH,10518
2000,ALABAMA,21532,COLBERT,OTHER,OTHER,471
2000,ALABAMA,5551,CONECUH,DEMOCRAT,AL GORE,2783
2000,ALABAMA,5551,CONECUH,REPUBLICAN,GEORGE W. BUSH,2699
2000,ALABAMA,5551,CONECUH,OTHER,OTHER,69
2000,ALABAMA,4567,COOSA,DEMOCRAT,AL GORE,2104
2000,ALABAMA,4567,COOSA,REPUBLICAN,GEORGE W. BUSH,2382
2000,ALABAMA,4567,COOSA,OTHER,OTHER,81
2000,ALABAMA,13613,COVINGTON,DEMOCRAT,AL GORE,4440
2000,ALABAMA,13613,COVINGTON,REPUBLICAN,GEORGE W. BUSH,8961
2000,ALABAMA,13613,COVINGTON,OTHER,OTHER,212
2000,ALABAMA,4795,CRENSHAW,DEMOCRAT,AL GORE,1934
2000,ALABAMA,4795,CRENSHAW,REPUBLICAN,GEORGE W. BUSH,2793
2000,ALABAMA,4795,CRENSHAW,OTHER,OTHER,68
2000,ALABAMA,29525,CULLMAN,DEMOCRAT,AL GORE,9758
2000,ALABAMA,29525,CULLMAN,REPUBLICAN,GEORGE W. BUSH,19157
2000,ALABAMA,29525,CULLMAN,OTHER,OTHER,610
2000,ALABAMA,15806,DALE,DEMOCRAT,AL GORE,4906
2000,ALABAMA,15806,DALE,REPUBLICAN,GEORGE W. BUSH,10593
2000,ALABAMA,15806,DALE,OTHER,OTHER,307
2000,ALABAMA,18464,DALLAS,DEMOCRAT,AL GORE,10967
2000,ALABAMA,18464,DALLAS,REPUBLICAN,GEORGE W. BUSH,7360
2000,ALABAMA,18464,DALLAS,OTHER,OTHER,137
2000,ALABAMA,20285,DEKALB,DEMOCRAT,AL GORE,7056
2000,ALABAMA,20285,DEKALB,REPUBLICAN,GEORGE W. BUSH,12827
2000,ALABAMA,20285,DEKALB,OTHER,OTHER,402
2000,ALABAMA,23804,ELMORE,DEMOCRAT,AL GORE,6652
2000,ALABAMA,23804,ELMORE,REPUBLICAN,GEORGE W. BUSH,16777
2000,ALABAMA,23804,ELMORE,OTHER,OTHER,375
2000,ALABAMA,11660,ESCAMBIA,DEMOCRAT,AL GORE,4523
2000,ALABAMA,11660,ESCAMBIA,REPUBLICAN,GEORGE W. BUSH,6975
2000,ALABAMA,11660,ESCAMBIA,OTHER,OTHER,162
2000,ALABAMA,39348,ETOWAH,DEMOCRAT,AL GORE,17433
2000,ALABAMA,39348,ETOWAH,REPUBLICAN,GEORGE W. BUSH,21087
2000,ALABAMA,39348,ETOWAH,OTHER,OTHER,828
2000,ALABAMA,7808,FAYETTE,DEMOCRAT,AL GORE,3064
2000,ALABAMA,7808,FAYETTE,REPUBLICAN,GEORGE W. BUSH,4582
2000,ALABAMA,7808,FAYETTE,OTHER,OTHER,162
2000,ALABAMA,11103,FRANKLIN,DEMOCRAT,AL GORE,4793
2000,ALABAMA,11103,FRANKLIN,REPUBLICAN,GEORGE W. BUSH,6119
2000,ALABAMA,11103,FRANKLIN,OTHER,OTHER,191
2000,ALABAMA,9559,GENEVA,DEMOCRAT,AL GORE,2769
2000,ALABAMA,9559,GENEVA,REPUBLICAN,GEORGE W. BUSH,6588
2000,ALABAMA,9559,GENEVA,OTHER,OTHER,202
2000,ALABAMA,4396,GREENE,DEMOCRAT,AL GORE,3504
2000,ALABAMA,4396,GREENE,REPUBLICAN,GEORGE W. BUSH,850
2000,ALABAMA,4396,GREENE,OTHER,OTHER,42
2000,ALABAMA,7731,HALE,DEMOCRAT,AL GORE,4652
2000,ALABAMA,7731,HALE,REPUBLICAN,GEORGE W. BUSH,2984
2000,ALABAMA,7731,HALE,OTHER,OTHER,95
2000,ALABAMA,6932,HENRY,DEMOCRAT,AL GORE,2782
2000,ALABAMA,6932,HENRY,REPUBLICAN,GEORGE W. BUSH,4054
2000,ALABAMA,6932,HENRY,OTHER,OTHER,96
2000,ALABAMA,32057,HOUSTON,DEMOCRAT,AL GORE,9412
2000,ALABAMA,32057,HOUSTON,REPUBLICAN,GEORGE W. BUSH,22150
2000,ALABAMA,32057,HOUSTON,OTHER,OTHER,495
2000,ALABAMA,17906,JACKSON,DEMOCRAT,AL GORE,9066
2000,ALABAMA,17906,JACKSON,REPUBLICAN,GEORGE W. BUSH,8475
2000,ALABAMA,17906,JACKSON,OTHER,OTHER,365
2000,ALABAMA,273763,JEFFERSON,DEMOCRAT,AL GORE,129889
2000,ALABAMA,273763,JEFFERSON,REPUBLICAN,GEORGE W. BUSH,138491
2000,ALABAMA,273763,JEFFERSON,OTHER,OTHER,5383
2000,ALABAMA,7249,LAMAR,DEMOCRAT,AL GORE,2653
2000,ALABAMA,7249,LAMAR,REPUBLICAN,GEORGE W. BUSH,4470
2000,ALABAMA,7249,LAMAR,OTHER,OTHER,126
2000,ALABAMA,32137,LAUDERDALE,DEMOCRAT,AL GORE,13875
2000,ALABAMA,32137,LAUDERDALE,REPUBLICAN,GEORGE W. BUSH,17478
2000,ALABAMA,32137,LAUDERDALE,OTHER,OTHER,784
2000,ALABAMA,12185,LAWRENCE,DEMOCRAT,AL GORE,6296
2000,ALABAMA,12185,LAWRENCE,REPUBLICAN,GEORGE W. BUSH,5671
2000,ALABAMA,12185,LAWRENCE,OTHER,OTHER,218
2000,ALABAMA,38264,LEE,DEMOCRAT,AL GORE,14574
