year,state,county,candidate,party,votes
2000,Alabama,Autauga,Al Gore,DEM,4942
2000,Alabama,Autauga,George W. Bush,REP,11993
2000,Alabama,Autauga,Other,Other,273
2000,Alabama,Baldwin,Al Gore,DEM,13997
2000,Alabama,Baldwin,George W. Bush,REP,40872
2000,Alabama,Baldwin,Other,Other,1611
2000,Alabama,Barbour,Al Gore,DEM,5188
2000,Alabama,Barbour,George W. Bush,REP,5096
2000,Alabama,Barbour,Other,Other,111
2000,Alabama,Bibb,Al Gore,DEM,2710
2000,Alabama,Bibb,George W. Bush,REP,4273
2000,Alabama,Bibb,Other,Other,118
2000,Alabama,Blount,Al Gore,DEM,4977
2000,Alabama,Blount,George W. Bush,REP,12667
2000,Alabama,Blount,Other,Other,329
2000,Alabama,Bullock,Al Gore,DEM,3395
2000,Alabama,Bullock,George W. Bush,REP,1433
2000,Alabama,Bullock,Other,Other,76
2000,Alabama,Butler,Al Gore,DEM,3606
2000,Alabama,Butler,George W. Bush,REP,4127
2000,Alabama,Butler,Other,Other,70
2000,Alabama,Calhoun,Al Gore,DEM,15781
2000,Alabama,Calhoun,George W. Bush,REP,22306
2000,Alabama,Calhoun,Other,Other,822
2000,Alabama,Chambers,Al Gore,DEM,5616
2000,Alabama,Chambers,George W. Bush,REP,6037
2000,Alabama,Chambers,Other,Other,181
2000,Alabama,Cherokee,Al Gore,DEM,3497
2000,Alabama,Cherokee,George W. Bush,REP,4154
2000,Alabama,Cherokee,Other,Other,172
2000,Alabama,Chilton,Al Gore,DEM,4806
2000,Alabama,Chilton,George W. Bush,REP,10066
2000,Alabama,Chilton,Other,Other,220
2000,Alabama,Choctaw,Al Gore,DEM,3707
2000,Alabama,Choctaw,George W. Bush,REP,3600
2000,Alabama,Choctaw,Other,Other,67
2000,Alabama,Clarke,Al Gore,DEM,4679
2000,Alabama,Clarke,George W. Bush,REP,5988
2000,Alabama,Clarke,Other,Other,85
2000,Alabama,Clay,Al Gore,DEM,2045
2000,Alabama,Clay,George W. Bush,REP,3719
2000,Alabama,Clay,Other,Other,119
2000,Alabama,Cleburne,Al Gore,DEM,1664
2000,Alabama,Cleburne,George W. Bush,REP,3333
2000,Alabama,Cleburne,Other,Other,95
2000,Alabama,Coffee,Al Gore,DEM,5220
2000,Alabama,Coffee,George W. Bush,REP,9938
2000,Alabama,Coffee,Other,Other,276
2000,Alabama,Colbert,Al Gore,DEM,10543
2000,Alabama,Colbert,George W. Bush,REP,10518
2000,Alabama,Colbert,Other,Other,471
2000,Alabama,Conecuh,Al Gore,DEM,2783
2000,Alabama,Conecuh,George W. Bush,REP,2699
2000,Alabama,Conecuh,Other,Other,69
2000,Alabama,Coosa,Al Gore,DEM,2104
2000,Alabama,Coosa,George W. Bush,REP,2382
2000,Alabama,Coosa,Other,Other,81
2000,Alabama,Covington,Al Gore,DEM,4440
2000,Alabama,Covington,George W. Bush,REP,8961
2000,Alabama,Covington,Other,Other,212
2000,Alabama,Crenshaw,Al Gore,DEM,1934
2000,Alabama,Crenshaw,George W. Bush,REP,2793
2000,Alabama,Crenshaw,Other,Other,68
2000,Alabama,Cullman,Al Gore,DEM,9758
2000,Alabama,Cullman,George W. Bush,REP,19157
2000,Alabama,Cullman,Other,Other,610
2000,Alabama,Dale,Al Gore,DEM,4906
2000,Alabama,Dale,George W. Bush,REP,10593
2000,Alabama,Dale,Other,Other,307
2000,Alabama,Dallas,Al Gore,DEM,10967
2000,Alabama,Dallas,George W. Bush,REP,7360
