Player,Nation,Pos,Squad,Age,MP,Min,Gls,Ast,Wage,pts
A.J. DeLaGarza,GUM,DF,New England,34,4,290,0,0,2.5,42
Aaron Herrera,USA,DF,Real Salt Lake,24,27,2268,0,2,7,47
Aaron Long,USA,DF,NY Red Bulls,29,29,2366,4,0,10.5,53
Abdoulaye Cissoko,FRA,DF,Seattle,22,10,409,0,0,0.66724000000000006,41
Abraham Rodriguez,USA,GK,Colorado Rapids,19,1,46,0,0,0.84,43
Abu Danladi,GHA,FW,Minnesota Utd,26,19,634,2,0,1.35,48
Adalberto Carrasquilla,PAN,MF,Houston Dynamo,23,32,2392,2,3,4.18908,36
Adam Armour,USA,MF,Charlotte,19,5,85,1,0,0.655,42
Adam Lundqvist,SWE,DF,Houston Dynamo,27,31,2581,0,5,3.25,36
Adam Saldaña,USA,MF,LA Galaxy,19,1,10,0,0,0.89513,50
Adilson Malanda,FRA,DF,Charlotte,20,6,540,0,1,2.5,42
Adrien Perez,USA,MF,D.C. United,26,3,133,0,0,0.89513,27
Ahmed Hamdi,EGY,MF,CF Montréal,23,9,332,0,1,4.75,65
Aidan Morris,USA,MF,Columbus Crew,20,27,1811,0,0,1.7,46
Aiden McFadden,USA,DF,Atlanta Utd,23,11,639,0,0,0.655,40
Aimé Mabika,ZAM,DF,Inter Miami,23,15,1022,0,1,0.655,48
Alan Benítez,PAR,DF,Minnesota Utd,28,11,570,1,2,3.8,48
Alan Franco,ARG,DF,Atlanta Utd,25,31,2714,1,2,5.4,40
Alan Franco,ECU,MF,Charlotte,23,10,782,0,1,5.4,42
Alan Velasco,ARG,FW,FC Dallas,19,26,1928,6,5,11,53
Albert Rusnák,SVK,MF,Seattle,27,32,2603,3,0,18,41
Alec Kann,USA,GK,FC Cincinnati,31,7,630,0,0,2,49
Alejandro Bedoya,USA,MF,Philadelphia,34,30,2422,6,6,9,67
Alessandro Schöpf,AUT,MF,Vancouver,27,7,342,0,0,8,43
Alex Bono,USA,GK,Toronto FC,27,24,2160,0,0,5.25,34
Alex DeJohn,USA,DF,Atlanta Utd,30,5,416,0,0,0.85444,40
Alex Monis,USA,FW,Chicago Fire,18,1,2,1,0,0.84,39
Alex Muyl,USA,DF,Nashville,26,29,2019,2,2,3.25,50
Alex Roldan,SLV,DF,Seattle,25,32,2610,1,4,2,41
Alexander Callens,PER,DF,NYCFC,29,27,2386,5,1,7.5,55
Alexander Ring,FIN,MF,Austin,30,34,2780,4,3,15,56
Alexandre Pato,BRA,FW,Orlando City,32,22,1196,3,5,4,48
Alexandru Mățan,ROU,FW,Columbus Crew,22,6,32,0,0,4.25,46
Alfredo Morales,USA,MF,NYCFC,31,24,1880,0,2,6,55
Alistair Johnston,CAN,DF,CF Montréal,23,33,2646,4,4,4,65
Aljaž Ivačič,SVN,GK,Portland Timbers,28,32,2880,0,0,2.2,46
Allan Cruz,CRC,MF,FC Cincinnati,25,11,403,0,0,11.4,49
Alvas Powell,JAM,DF,FC Cincinnati,27,28,1930,0,3,1.5,49
Amar Sejdic,USA,MF,Atlanta Utd,25,23,1306,0,1,0.85444,40
Anderson Julio,ECU,FW,Real Salt Lake,25,19,522,3,1,7.5,47
Andre Blake,JAM,GK,Philadelphia,31,34,3060,0,0,7.5,67
Andre Reynolds II,USA,FW,Chicago Fire,20,12,404,0,0,0.9,39
Andres Jasson,USA,DF,NYCFC,20,15,467,0,1,1,55
Andreu Fontàs,ESP,DF,Sporting KC,32,28,2437,2,0,11.25,40
Andrew Brody,USA,DF,Real Salt Lake,26,34,2955,2,4,1.9,47
Andrew Farrell,USA,DF,New England,29,32,2778,0,0,4.25,42
Andrew Gutman,USA,DF,Atlanta Utd,25,25,1962,4,1,3,40
Andrew Tarbell,USA,GK,Austin,28,4,352,0,0,3,56
Andrés Cubas,PAR,MF,Vancouver,25,18,1349,1,0,9,43
Andrés Perea,USA,MF,Orlando City,21,24,813,1,0,2.4,48
Andrés Reyes,COL,DF,NY Red Bulls,22,12,695,0,0,4.25,53
Andy Najar,HON,DF,D.C. United,28,23,1666,0,1,3.75,27
Anthony Markanich,USA,DF,Colorado Rapids,22,3,234,0,0,0.655,43
Anton Tinnerholm,SWE,DF,NYCFC,30,10,580,0,0,7.5,55
Anton Walkes, ENG,DF,Charlotte,24,23,1806,0,0,3.25,42
Antonio Carlos,BRA,DF,Orlando City,28,21,1625,0,1,9,48
Aníbal Godoy,PAN,MF,Nashville,31,19,945,1,2,8,50
Ariel Lassiter,CRC,FW,Inter Miami,27,30,1640,4,4,2.1,48
Arnaud Ake,CIV,FW,Nashville,23,21,318,1,0,12.5,50
Arquimides Ordonez,GUA,FW,FC Cincinnati,18,8,90,0,0,0.655,49
Artur,BRA,MF,Columbus Crew,25,24,1642,0,0,5.64,46
Ayo Akinola,CAN,FW,Toronto FC,22,26,1241,2,0,6,34
Bakaye Dibassy,MLI,DF,Minnesota Utd,32,26,2256,1,0,6.5,48
Ben Bender,USA,MF,Charlotte,20,28,1645,3,6,0.655,42
Ben Reveno,USA,FW,New England,22,1,1,0,0,0.655,42
Ben Sweat,USA,DF,Sporting KC,30,20,1524,0,3,2,40
Benjamin Kikanovic,USA,FW,San Jose,22,30,1370,6,3,0.85444,35
Benjamin Redzic,USA,MF,FC Dallas,19,6,67,0,0,0.66724000000000006,53
Benji Michel,USA,FW,Orlando City,24,31,1504,1,0,1.15,48
Bernard Kamungo,TAN,FW,FC Dallas,20,1,21,0,0,0.84,53
Bill Hamid,USA,GK,D.C. United,31,10,858,0,0,7,27
Bill Tuiloma,NZL,DF,Portland Timbers,26,30,2255,6,2,2.85,46
Blake Bodily,USA,FW,Portland Timbers,24,3,15,0,0,0.84,46
Bobby Wood,USA,FW,Real Salt Lake,29,14,983,3,1,9.25,47
Bode Davis,USA,MF,Real Salt Lake,19,6,91,1,0,0.84,47
Bongokuhle Hlongwane,RSA,FW,Minnesota Utd,21,29,1598,2,4,5.3,48
Boris Sekulić,SVK,DF,Chicago Fire,30,33,2815,0,2,5.96,39
Brad Guzan,USA,GK,Atlanta Utd,37,7,612,0,0,4.45716,40
Brad Knighton,USA,GK,New England,36,4,360,0,0,1.5,42
Brad Smith,AUS,DF,D.C. United,27,16,1148,0,1,5.5,27
Brad Stuver,USA,GK,Austin,30,31,2708,0,0,1.75,56
Braian Ojeda,PAR,MF,Real Salt Lake,21,6,352,0,0,5.5,47
Brandan Craig,USA,MF,Philadelphia,17,1,4,0,0,0.85,67
Brandon Bye,USA,DF,New England,26,29,2565,2,7,3.25,42
Brandon Servania,USA,MF,FC Dallas,22,23,1321,2,3,4,53
Brandon Vazquez,USA,FW,FC Cincinnati,23,33,2740,18,8,2.75,49
Brandt Bronico,USA,MF,Charlotte,26,34,2812,1,1,1.25,42
Brek Shea,USA,DF,Inter Miami,31,4,161,0,0,1.82,48
Brendan Hines-Ike,USA,DF,D.C. United,27,20,1682,0,0,3.75,27
Brenner,BRA,FW,FC Cincinnati,22,29,2056,18,6,16.8,49
Brent Kallman,USA,DF,Minnesota Utd,31,20,1395,2,0,1.6,48
Brian Anunga,CMR,MF,Nashville,25,24,842,0,0,1.56,50
Brian Gutiérrez,USA,FW,Chicago Fire,18,33,1637,2,5,1.04,39
